display_name,canonical_name,latest_precinct,precincts,sessions_count,sessions
"Robinson, Felina","robinson, felina",3,3,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Robotham, Margaret","robotham, margaret",3,3,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Roseman, Lynda","roseman, lynda",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rosenstein, Harriet","rosenstein, harriet",9,9,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Rosenthal, Martin","rosenthal, martin",9,9,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Ross, A Joseph","ross, a joseph",16,16,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rourke, Jr., James","rourke, jr, james",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rubenstein, Michael","rubenstein, michael",AL,13; AL,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rubin, Rachel","rubin, rachel",16,16,1,May 2021 Annual Town Meeting
"Rubinow, Stuart","rubinow, stuart",2,2,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Rudolph, Jeffrey David","rudolph, jeffrey david",6,6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Rumpler, John","rumpler, john",11,11,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Ryan, Jessica","ryan, jessica",16,16,4,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Saltzman, Daniel","saltzman, daniel",6,6,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Samih, Youkavet","samih, youkavet",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Sandman, Michael","sandman, michael",AL,3; AL,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Saner, Paul","saner, paul",13,13,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Scanlon, Kathleen","scanlon, kathleen",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Schachter-Kahl, Livia","schachter-kahl, livia",17,2; 17,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Schafer, Elizabeth","schafer, elizabeth",17,10; 17,9,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Schoen, Robert","schoen, robert",1,1,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Schoffmann, Sharon","schoffmann, sharon",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Schram, Robert","schram, robert",1,1,7,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting
"Schultz, Aylit","schultz, aylit",7,7,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Scotto, Barbara","scotto, barbara",2,2; 8,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Sears, Lisamarie","sears, lisamarie",4,4,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Segel, Arthur","segel, arthur",14,14,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Segel, Jennifer Ellen","segel, jennifer ellen",13,13; 14,4,May 2021 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Seidman, Katha","seidman, katha",2,2,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Selwyn, Judith","selwyn, judith",13,13,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Selwyn, Lee","selwyn, lee",13,13,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Senat-Fleury, Jean","senat-fleury, jean",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Senecal, Barbara","senecal, barbara",13,13,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Shatz, Lisa","shatz, lisa",11,11,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Sheehan, Conor","sheehan, conor",10,10,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Sheinin, Maxim","sheinin, maxim",6,6,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Shiffman, Gary Adam","shiffman, gary adam",9,9,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Shon-Baker, Rita","shon-baker, rita",7,7,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Shpritz, Nathan","shpritz, nathan",16,16,5,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting
"Shreffler, John","shreffler, john",17,2; 17,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Sievers, Mary","sievers, mary",8,8,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Silbaugh, Katharine","silbaugh, katharine",1,1,7,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting
"Silberberg, Isaac","silberberg, isaac",7,7; 8; 17,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Simansky, Harold","simansky, harold",9,9,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Slayton, James","slayton, james",7,7,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Smith, Kim","smith, kim",6,6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Smith, Virginia","smith, virginia",6,4; 6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Sneider, Ruthann","sneider, ruthann",6,6,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Snyder, Richard","snyder, richard",2,2,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Soiffer, Ariel","soiffer, ariel",2,2,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Somani, Alok","somani, alok",5,5,1,November 2021 Special Town Meeting
"Spiegel, Diana","spiegel, diana",8,2; 8,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Spiegel, Stanley","spiegel, stanley",2,2,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Spingarn, Alexandra","spingarn, alexandra",10,10,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Stahl, Wendy","stahl, wendy",5,5,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Steinfield, Frank","steinfield, frank",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Stephens, Nicole","stephens, nicole",10,10,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Stokes, Colin","stokes, colin",7,7,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Stokes, Jessica","stokes, jessica",7,7,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Stone, Daniel","stone, daniel",10,10,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Stone, Eric","stone, eric",8,8,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Stone, Rebecca","stone, rebecca",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Swartz, Charles","swartz, charles",9,9,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Sweitzer, Naomi","sweitzer, naomi",10,10,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Tadmor, Ada","tadmor, ada",13,13,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Takinami, Emy","takinami, emy",10,10,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Tamayo, Carlos","tamayo, carlos",2,2,7,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Teame, Awet","teame, awet",4,4,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Terrell, Charles","terrell, charles",1,1,8,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Thall, Carolyn","thall, carolyn",16,16,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Toffel, Michael","toffel, michael",8,8,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Toomey, Maura","toomey, maura",2,2; 8,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Trecker, Anne","trecker, anne",6,6,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Trevvett, David","trevvett, david",2,2,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Triestman, Ethan","triestman, ethan",6,6,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Tucker, Nate","tucker, nate",3,3,7,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Tuckman, Gerald","tuckman, gerald",9,9,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Turner, Anne","turner, anne",3,3,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Tyndal, Dwaign","tyndal, dwaign",9,9,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Tytell, David Edward","tytell, david edward",8,8,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Valencia, Joseph","valencia, joseph",17,17,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"van der Ziel, Cornelia","van der ziel, cornelia",15,15,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Vanderkay, Judith","vanderkay, judith",9,9,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"VanScoyoc, John","vanscoyoc, john",AL,AL,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Veski, Shannon","veski, shannon",13,13,1,November 2023 Special Town Meeting
"Vitolo, Hon. Tommy","vitolo, hon tommy",AL,AL,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Vogt, Marissa","vogt, marissa",6,4; 6,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Volk, Robert","volk, robert",4,4,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Wang, Aone","wang, aone",8,8,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Wapinski, Ilan","wapinski, ilan",7,7,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Warner, Donald","warner, donald",13,13,4,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting
"Warren, Paul","warren, paul",AL,1; AL,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Weaver, Anne","weaver, anne",11,11,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Weaver, Karin","weaver, karin",10,10,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Weintraub, Robert","weintraub, robert",9,9,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Weitzman, Donald","weitzman, donald",8,8,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"White, George","white, george",9,9,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Wholey, Leonard","wholey, leonard",11,11,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Wiecek, Michael","wiecek, michael",3,3,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Wimberly, Davis","wimberly, davis",2,2,1,May 2021 Annual Town Meeting
"Wishinsky, Neil Alan","wishinsky, neil alan",AL,5; AL,10,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Wishinsky, Susan","wishinsky, susan",5,5,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Wu, Chi Chi","wu, chi chi",7,7,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Yang, Marianna","yang, marianna",4,4,7,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting
"Yaseen, Martin","yaseen, martin",17,2; 17,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Zakrzewski, Beata","zakrzewski, beata",17,17,5,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting
"Zelkha, Sami","zelkha, sami",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Zelkha, Sassan","zelkha, sassan",14,14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
